NMec = 98498
T = 35
P = 3
Profits ignored
Solution time = 2.151e+00
Maximum possible tasks = 18
Solutions = 6112
Task data
    3  11     1     0
    6  31     1    -1
    8 113     1    -1
    9  30     1    -1
   11  20     1    -1
   11  23     1    -1
   15  28     1     0
   16  32     1     1
   20  32     1     2
   31  56     1    -1
   39  55     1    -1
   41  62     1    -1
   42  64     1    -1
   45  56     1     0
   47  59     1     1
   49  53     1     2
   61  75     1    -1
   61  79     1     0
   64  73     1     1
   69  72     1     2
   70 104     1    -1
   73  86     1     2
   77  91     1     1
   83 101     1    -1
   83 101     1    -1
   85  93     1     0
   86 101     1    -1
   87  98     1    -1
   88  98     1     2
   89 100     1    -1
   91 101     1    -1
   97 100     1     0
   97 111     1     1
  100 111     1     2
  102 107     1     0
End
