NMec = 98498
T = 39
P = 2
Profits ignored
Solution time = 1.244e+00
Maximum possible tasks = 17
Solutions = 1584
Task data
    2  19     1    -1
    7  18     1     0
   15  82     1    -1
   17  25     1     1
   18  35     1    -1
   27  42     1    -1
   29 108     1    -1
   31  43     1    -1
   31  45     1     0
   32  47     1     1
   35  57     1    -1
   41  56     1    -1
   41  66     1    -1
   44  63     1    -1
   47  62     1     0
   53  60     1     1
   54  77     1    -1
   55  70     1    -1
   58  68     1    -1
   59  78     1    -1
   63  75     1     0
   63  79     1     1
   66  90     1    -1
   83  94     1     0
   86  93     1     1
  103 122     1    -1
  104 120     1     0
  113 126     1    -1
  115 127     1    -1
  119 134     1     1
  122 130     1     0
  139 152     1    -1
  145 165     1     0
  148 162     1     1
  158 184     1    -1
  163 178     1    -1
  165 177     1    -1
  166 182     1     0
  171 178     1     1
End
