NMec = 98498
T = 36
P = 2
Profits ignored
Solution time = 2.460e-01
Maximum possible tasks = 18
Solutions = 207
Task data
    4  21     1     0
    7  89     1    -1
    9  20     1     1
   19  25     1    -1
   20  38     1    -1
   21  29     1    -1
   21 167     1    -1
   22  35     1     0
   22  36     1     1
   22 146     1    -1
   41  56     1     0
   42  65     1     1
   57 141     1    -1
   59  72     1    -1
   60  62     1     0
   65  90     1    -1
   70  77     1     0
   70  79     1     1
   71 155     1    -1
   80 100     1    -1
   81 103     1    -1
   90 159     1    -1
   97 103     1     0
   98 107     1     1
  106 116     1     0
  106 125     1    -1
  109 130     1    -1
  110 124     1     1
  115 128     1    -1
  119 133     1     0
  127 142     1     1
  128 166     1    -1
  144 158     1    -1
  145 154     1     0
  149 158     1     1
  160 177     1     0
End
