NMec = 98498
T = 35
P = 2
Profits ignored
Solution time = 1.665e+00
Maximum possible tasks = 22
Solutions = 144
Task data
    0  12     1    -1
    0 174     1    -1
    2   5     1     0
    2  10     1     1
   10  20     1     0
   24  27     1     0
   25  27     1     1
   28  34     1    -1
   28 132     1    -1
   29  40     1     0
   34  42     1     1
   43  49     1     0
   46  69     1     1
   52  53     1     0
   63  76     1     0
   66  82     1    -1
   68  77     1    -1
   71  77     1     1
   76  87     1    -1
   77  83     1     0
   83  98     1     1
   93 105     1    -1
   95 104     1     0
   96 116     1    -1
  103 111     1    -1
  103 112     1     1
  103 114     1    -1
  106 118     1    -1
  110 125     1     0
  114 122     1     1
  126 137     1    -1
  130 136     1     0
  130 140     1     1
  138 142     1     0
  162 168     1     0
End
