NMec = 98513
T = 38
P = 1
Profits ignored
Solution time = 1.992e-01
Maximum possible tasks = 18
Solutions = 672
Task data
    1  10     1    -1
    1  15     1    -1
    9  23     1     0
   16  33     1    -1
   18  38     1    -1
   25  35     1     0
   27 169     1    -1
   38 318     1    -1
   51  52     1     0
   53  63     1     0
   55  71     1    -1
   55 344     1    -1
   63  72     1    -1
   70  80     1     0
   76  86     1    -1
   82  88     1     0
   86 104     1    -1
   89  95     1     0
  102 106     1     0
  107 115     1    -1
  114 119     1     0
  120 137     1    -1
  126 139     1    -1
  130 145     1     0
  147 164     1    -1
  149 170     1     0
  187 332     1    -1
  189 198     1    -1
  190 203     1     0
  221 236     1    -1
  222 231     1     0
  240 247     1     0
  247 253     1    -1
  252 262     1     0
  270 278     1    -1
  272 281     1     0
  284 297     1     0
  308 322     1     0
End
