NMec = 98513
T = 36
P = 1
Profits ignored
Solution time = 5.035e-02
Maximum possible tasks = 15
Solutions = 1728
Task data
    2  12     1     0
   24  36     1     0
   35 296     1    -1
   49  56     1    -1
   52  72     1     0
   73 340     1    -1
   80  96     1    -1
   86 266     1    -1
   94  98     1     0
   98 255     1    -1
  104 119     1    -1
  104 121     1     0
  127 130     1     0
  129 137     1    -1
  133 143     1     0
  134 157     1    -1
  147 151     1    -1
  148 159     1     0
  158 259     1    -1
  166 186     1    -1
  181 194     1    -1
  184 196     1     0
  185 206     1    -1
  206 215     1    -1
  206 219     1     0
  238 244     1     0
  240 253     1    -1
  250 256     1     0
  263 278     1    -1
  264 272     1    -1
  269 275     1     0
  299 306     1    -1
  300 312     1    -1
  301 318     1     0
  335 346     1    -1
  343 358     1     0
End
