NMec = 98513
T = 35
P = 1
Profits ignored
Solution time = 8.446e-02
Maximum possible tasks = 16
Solutions = 2160
Task data
    2   3     1     0
    6 202     1    -1
   18 271     1    -1
   19  25     1     0
   31 268     1    -1
   34 317     1    -1
   39  46     1     0
   62  69     1     0
   77  83     1     0
   90  98     1     0
  103 109     1    -1
  104 119     1    -1
  107 116     1     0
  124 136     1     0
  149 171     1    -1
  160 175     1     0
  182 197     1    -1
  185 201     1     0
  199 221     1    -1
  201 215     1    -1
  203 214     1    -1
  210 218     1     0
  225 240     1     0
  256 269     1    -1
  263 264     1     0
  275 293     1    -1
  279 290     1    -1
  279 303     1    -1
  282 285     1    -1
  285 294     1     0
  308 318     1    -1
  315 327     1     0
  329 342     1    -1
  335 348     1    -1
  339 348     1     0
End
