NMec = 98513
T = 36
P = 2
Profits ignored
Solution time = 1.188e+00
Maximum possible tasks = 20
Solutions = 440
Task data
    6 165     1    -1
   12  16     1     0
   14  28     1     1
   17  35     1    -1
   18  38     1    -1
   20 122     1    -1
   23  43     1    -1
   27  32     1     0
   30  43     1     1
   44 176     1    -1
   48  57     1     0
   51  76     1    -1
   57  65     1     1
   64  85     1    -1
   65  72     1     0
   71  76     1     1
   79  89     1    -1
   79  93     1    -1
   87 100     1     0
   89  95     1     1
  110 116     1     0
  113 120     1     1
  116 133     1    -1
  118 137     1     0
  122 128     1     1
  129 149     1    -1
  130 141     1    -1
  133 147     1    -1
  136 142     1    -1
  136 149     1     1
  141 146     1     0
  149 168     1    -1
  154 157     1     0
  157 172     1     1
  159 161     1     0
  167 176     1     0
End
