NMec = 98513
T = 37
P = 1
Profits ignored
Solution time = 1.565e-01
Maximum possible tasks = 17
Solutions = 1680
Task data
    2 336     1    -1
    7  18     1    -1
   10  26     1     0
   15  85     1    -1
   20  42     1    -1
   36  53     1    -1
   38  45     1     0
   54  59     1     0
   62  75     1     0
   74  97     1    -1
   89 100     1     0
  105 122     1    -1
  107 118     1    -1
  111 116     1    -1
  113 124     1     0
  138 153     1    -1
  152 165     1     0
  164 181     1    -1
  168 179     1     0
  168 186     1    -1
  176 189     1    -1
  180 192     1    -1
  183 201     1     0
  183 206     1    -1
  200 209     1    -1
  204 210     1     0
  216 220     1    -1
  218 219     1    -1
  218 231     1     0
  232 236     1    -1
  235 241     1     0
  258 263     1     0
  265 284     1     0
  288 299     1     0
  312 319     1     0
  325 348     1    -1
  326 351     1     0
End
