NMec = 98513
T = 38
P = 2
Profits ignored
Solution time = 6.202e-01
Maximum possible tasks = 17
Solutions = 10800
Task data
    2  15     1     0
    3 174     1    -1
    5 182     1    -1
   22 189     1    -1
   29  55     1    -1
   31  36     1     0
   35 159     1    -1
   38  49     1    -1
   43  47     1     0
   45  65     1     1
   51  61     1     0
   52  95     1    -1
   62  77     1    -1
   66  78     1    -1
   69  79     1     0
   72  88     1    -1
   76  82     1     1
   81  84     1     0
   83  93     1    -1
   86 100     1     0
   93 112     1     1
  102 111     1     0
  105 122     1    -1
  107 123     1    -1
  108 121     1    -1
  110 137     1    -1
  114 135     1    -1
  117 126     1     0
  117 128     1     1
  140 156     1    -1
  141 154     1    -1
  142 150     1     0
  147 159     1     1
  147 169     1    -1
  151 168     1    -1
  152 166     1    -1
  159 175     1     0
  165 171     1     1
End
