NMec = 98513
T = 35
P = 3
Profits ignored
Solution time = 1.042e+00
Maximum possible tasks = 19
Solutions = 621
Task data
    2  10     1     0
    2  25     1    -1
    3   7     1     1
    3  97     1    -1
    4  35     1    -1
    6  15     1     2
    8  23     1    -1
   11  27     1    -1
   12  93     1    -1
   14  28     1     0
   16  28     1     1
   16  29     1     2
   26  85     1    -1
   29  49     1    -1
   30 101     1    -1
   31  39     1     0
   33  36     1     1
   33  36     1     2
   37  44     1     1
   39  60     1    -1
   39  61     1    -1
   41  62     1    -1
   42  57     1    -1
   43  66     1     0
   44 106     1    -1
   46  54     1     1
   46  55     1     2
   66  81     1     1
   72  97     1    -1
   77  99     1    -1
   78 102     1     0
   81  84     1     2
   85  96     1     1
   92  98     1     2
   99 106     1     1
End
