NMec = 98513
T = 40
P = 1
Profits ignored
Solution time = 4.323e-01
Maximum possible tasks = 17
Solutions = 9504
Task data
    3  14     1    -1
    4  22     1    -1
   10  14     1     0
   19  32     1     0
   24 351     1    -1
   42  60     1    -1
   51 354     1    -1
   54 371     1    -1
   60  75     1     0
   66  80     1    -1
   69  85     1    -1
   77  83     1     0
   85 100     1    -1
   88 104     1    -1
   96 115     1     0
  122 131     1     0
  133 153     1    -1
  140 156     1    -1
  142 157     1     0
  177 187     1    -1
  177 200     1    -1
  184 197     1     0
  201 212     1     0
  211 222     1    -1
  213 216     1    -1
  215 227     1     0
  224 236     1    -1
  233 249     1     0
  265 282     1    -1
  267 274     1     0
  268 278     1    -1
  275 291     1    -1
  277 283     1     0
  293 294     1     0
  299 310     1    -1
  305 309     1     0
  330 340     1    -1
  336 353     1     0
  390 397     1    -1
  391 396     1     0
End
