NMec = 98513
T = 39
P = 3
Profits ignored
Solution time = 2.822e+00
Maximum possible tasks = 16
Solutions = 1115775
Task data
    2  12     1     0
    2 125     1    -1
    6  16     1     1
    7  96     1    -1
   12  29     1    -1
   13  30     1    -1
   14  35     1    -1
   15  25     1    -1
   19  28     1    -1
   20 121     1    -1
   20 123     1    -1
   22  34     1     0
   24  34     1     1
   24  41     1     2
   24  42     1    -1
   25  42     1    -1
   28  43     1    -1
   30  42     1    -1
   35  60     1    -1
   37  59     1    -1
   38  50     1    -1
   40  54     1     0
   42  56     1     1
   42  61     1     2
   55  72     1    -1
   61  67     1    -1
   62  81     1    -1
   63  73     1    -1
   66  72     1     0
   67  75     1     1
   67  76     1     2
   98 104     1     0
  103 122     1    -1
  106 108     1     0
  106 119     1    -1
  107 126     1    -1
  113 119     1     0
  113 128     1     1
  118 123     1     2
End
