NMec = 98513
T = 37
P = 5
Profits not ignored
Solution time = 7.716e+01
Viable job selections = 8774965282
Best total profit = 52543
Task data
    0  71 13806     0
    1  43  6492     1
    2   8  1377     2
    8  13   751    -1
    8  13  1241     3
   10  70 11366     2
   11  19  1717    -1
   11  23  2440     4
   12  13   240    -1
   12  18  1377    -1
   13  16   396    -1
   13  26  1201    -1
   14  17   618    -1
   15  18   722     3
   19  42  2666    -1
   19  46  2871    -1
   23  32  2362     3
   25  35  1807    -1
   25  38  2556     4
   27  32   845    -1
   31  43  2100    -1
   31  50  3876    -1
   32  58  2593    -1
   38  47  1442    -1
   38  50  1615    -1
   41  44   637    -1
   41  58  2511     3
   42  49  1883     4
   43  49  1573    -1
   44  61  3032     1
   46  62  1577    -1
   49  63  1798    -1
   52  60  1100    -1
   54  59  1382    -1
   54  72  1960     4
   55  69   969    -1
   59  62   795     3
End
