NMec = 98513
T = 37
P = 3
Profits ignored
Solution time = 7.533e+00
Maximum possible tasks = 21
Solutions = 9250
Task data
    1   3     1     0
    1  13     1    -1
    1  16     1     1
    4   9     1     0
    5  84     1    -1
    7  95     1    -1
   10  28     1     0
   13  31     1     2
   14 112     1    -1
   19  24     1     1
   25  45     1    -1
   26  37     1     1
   26  53     1    -1
   31  43     1    -1
   33  44     1    -1
   33  46     1    -1
   34  50     1    -1
   35  41     1     0
   35  49     1     2
   41  52     1     1
   49  58     1     0
   50  65     1    -1
   52  79     1    -1
   58  79     1    -1
   58 116     1    -1
   64  71     1     0
   64  76     1     1
   65  78     1     2
   78  96     1     0
   86  89     1     1
   90  96     1     1
   92  97     1     2
   97 111     1    -1
   98 109     1    -1
  104 112     1     0
  106 119     1     1
  107 123     1     2
End
