NMec = 98513
T = 36
P = 7
Profits not ignored
Solution time = 6.649e+01
Viable job selections = 9176839272
Best total profit = 57547
Task data
    0  49 10635     0
    1   6  1272     1
    1  23  5187     2
    1  48  8516     3
    2   9  1098     4
    2  41  5564    -1
    3   5   536     5
    4  23  2655    -1
    5  22  2810     6
    8  12   730     1
   10  15   754     4
   11  27  4237     5
   12  19   543    -1
   13  22  2081     1
   13  22  1677    -1
   16  32  2839    -1
   16  39  2290    -1
   17  20   429    -1
   18  34  2060    -1
   19  32  3389     4
   19  35  1643    -1
   20  40  4471    -1
   21  25   558    -1
   22  44  2243    -1
   23  43  3291     1
   23  44  3736     6
   24  25   296     2
   27  41  1504    -1
   27  44  1886     2
   28  39   835    -1
   30  40  3003     5
   31  33   464    -1
   34  46  1221    -1
   34  50  2278     4
   43  47   982     5
   47  51   830     1
End
