NMec = 98513
T = 39
P = 2
Profits ignored
Solution time = 9.573e-01
Maximum possible tasks = 20
Solutions = 80
Task data
    0 191     1    -1
    0 194     1    -1
    1   9     1     0
    1 186     1    -1
    6 139     1    -1
    8  14     1     1
    9  24     1    -1
   11  24     1    -1
   20 190     1    -1
   21  28     1     0
   24  51     1     1
   44 192     1    -1
   46  72     1    -1
   49  55     1     0
   51  77     1    -1
   55  62     1     1
   62  78     1     0
   75  79     1     1
   82 105     1     0
   86 101     1     1
   98 107     1    -1
  101 114     1    -1
  102 114     1     1
  107 118     1     0
  117 175     1    -1
  126 139     1    -1
  127 136     1    -1
  130 151     1    -1
  132 137     1     0
  132 145     1     1
  149 164     1     0
  157 160     1     1
  158 169     1    -1
  160 167     1    -1
  163 165     1     1
  165 171     1     0
  169 188     1    -1
  171 191     1     1
  185 189     1     0
End
