NMec = 98513
T = 37
P = 2
Profits ignored
Solution time = 2.827e+00
Maximum possible tasks = 22
Solutions = 180
Task data
    2 183     1    -1
    4   8     1     0
    7  32     1    -1
    8  20     1     1
    9 172     1    -1
   16  27     1     0
   21  37     1    -1
   22  43     1    -1
   26  34     1     1
   35  36     1     0
   36  46     1     1
   36 147     1    -1
   39  61     1    -1
   40  53     1    -1
   44  53     1     0
   51  68     1    -1
   52  65     1     1
   65  75     1     0
   67  81     1    -1
   73  98     1    -1
   74 125     1    -1
   75  80     1     1
   78  82     1     0
   85 101     1     0
   99 116     1    -1
  106 123     1    -1
  106 124     1     0
  114 115     1     1
  126 127     1     0
  134 136     1     0
  134 138     1     1
  142 156     1    -1
  143 145     1     0
  144 156     1     1
  154 157     1     0
  164 180     1     0
  168 184     1     1
End
