NMec = 98513
T = 39
P = 1
Profits ignored
Solution time = 1.035e-01
Maximum possible tasks = 17
Solutions = 960
Task data
    0  25     1    -1
    0 389     1    -1
    5 275     1    -1
    9  25     1    -1
   10  31     1     0
   17 370     1    -1
   20 169     1    -1
   23 383     1    -1
   33 193     1    -1
   46  66     1     0
   65  73     1    -1
   68  87     1    -1
   71  77     1     0
   97 107     1     0
  115 127     1     0
  129 137     1    -1
  131 143     1    -1
  137 139     1     0
  143 148     1     0
  157 169     1    -1
  169 176     1     0
  189 203     1     0
  194 212     1    -1
  195 219     1    -1
  205 212     1     0
  213 236     1    -1
  219 232     1    -1
  220 240     1    -1
  222 233     1     0
  241 256     1    -1
  243 254     1     0
  270 280     1     0
  290 295     1     0
  302 304     1    -1
  303 312     1     0
  306 330     1    -1
  321 329     1    -1
  323 331     1     0
  369 376     1     0
End
