NMec = 98513
T = 30
P = 5
Profits not ignored
Solution time = 3.151e-01
Viable job selections = 32204673
Best total profit = 53225
Task data
    1  56 12648     0
    3  10  1067     1
    3  19  4784     2
    3  20  2958     3
    3  22  3366     4
    4  18  1396    -1
    9  42  3159    -1
   10  22  2930    -1
   11  32  1614    -1
   12  51  4465    -1
   15  23  1673    -1
   16  26  1953    -1
   16  53  9614     1
   17  24  1295    -1
   17  27  1664    -1
   20  41  4105    -1
   21  48  3923    -1
   22  42  4369     2
   22  59  5948     3
   23  28   842     4
   25  44  4686    -1
   27  35  1367    -1
   29  36   455    -1
   29  53  5201     4
   35  47  2980    -1
   36  42  1596    -1
   36  48   989    -1
   39  52  1693    -1
   39  57  3257    -1
   43  59  2428     2
End
