NMec = 98513
T = 31
P = 6
Profits not ignored
Solution time = 1.583e+00
Viable job selections = 181035711
Best total profit = 59065
Task data
    1  47 12897     0
    1  49 13974     1
    2  27  3978     2
    3  45 10444     3
    4  32  3190    -1
    5   9   849     4
    8  16   794    -1
    9  19  1572    -1
    9  35  5616     5
   13  17   835     4
   13  35  2894    -1
   14  36  1945    -1
   15  35  2612    -1
   16  30  1120    -1
   17  19   577    -1
   19  21   662    -1
   19  51  5406     4
   21  33  1443    -1
   22  44  4262    -1
   23  27   805    -1
   24  40  1820    -1
   28  48  3354     2
   33  43  1224    -1
   33  44  1217    -1
   33  44  2631    -1
   34  38   672    -1
   34  43   610    -1
   35  48  1143    -1
   40  42   257     5
   41  51  1182    -1
   44  50  1455     5
End
