NMec = 98513
T = 40
P = 3
Profits ignored
Solution time = 7.177e+00
Maximum possible tasks = 19
Solutions = 101938
Task data
    0 128     1    -1
    5   7     1     0
    6   7     1     1
    6  32     1    -1
    9  29     1    -1
   10 133     1    -1
   12  36     1    -1
   15 126     1    -1
   17  22     1     0
   18  24     1     1
   19  27     1     2
   22  34     1    -1
   24  38     1    -1
   24  42     1    -1
   25  36     1    -1
   25 132     1    -1
   26  47     1    -1
   29  37     1     0
   31  36     1     1
   34  39     1     2
   37  94     1    -1
   38  51     1    -1
   43  59     1     0
   45  50     1     1
   48  54     1     2
   51  65     1    -1
   52  59     1     1
   52  67     1    -1
   58  81     1    -1
   60  84     1     0
   61  69     1     1
   62  72     1     2
   73 100     1    -1
   75 122     1    -1
   83 100     1    -1
   87 106     1    -1
   90 119     1     0
   94 106     1     1
  100 116     1     2
  108 128     1     1
End
