NMec = 98513
T = 34
P = 5
Profits not ignored
Solution time = 1.063e+01
Viable job selections = 1290783867
Best total profit = 48119
Task data
    1  67 11765     0
    3  18  2336    -1
    4  20  2637     1
    6  11   839     2
    7  21  2695    -1
    7  23  3598     3
    8  17  1652    -1
    8  21  3447     4
   10  28  2469    -1
   12  44  5621     2
   13  21   699    -1
   15  17   212    -1
   17  28  1440    -1
   21  33  1537     1
   22  38  1810     4
   22  58  3902    -1
   23  32   946    -1
   24  33  1147    -1
   25  31   732    -1
   26  37   882    -1
   26  45  2144    -1
   26  48  3526     3
   28  40  1322    -1
   36  57  3335    -1
   38  51  1665    -1
   39  51  2943     1
   39  52  3734     4
   45  58   880    -1
   45  58  1242    -1
   51  64  1460     2
   54  56   373     1
   54  61  1448     3
   55  65  1656     4
   57  65  1725     1
End
