NMec = 98513
T = 40
P = 2
Profits ignored
Solution time = 7.859e-01
Maximum possible tasks = 18
Solutions = 1188
Task data
    3  14     1     0
    8  70     1    -1
   17 184     1    -1
   34  43     1    -1
   35  45     1     0
   37 160     1    -1
   43  50     1     1
   45  60     1    -1
   46 157     1    -1
   51  73     1    -1
   52  56     1     0
   55  71     1    -1
   56  68     1    -1
   56  72     1     1
   61  63     1     0
   72  78     1     0
   74 107     1    -1
   75  91     1     1
   85 103     1    -1
   89 101     1    -1
   89 155     1    -1
   91 104     1     0
   93 100     1     1
   94 107     1    -1
   99 111     1    -1
  103 114     1    -1
  106 108     1     0
  106 111     1     1
  106 122     1    -1
  108 118     1    -1
  112 128     1    -1
  115 127     1     0
  118 137     1     1
  118 190     1    -1
  146 163     1     0
  157 172     1    -1
  158 165     1     1
  162 183     1    -1
  165 178     1     0
  178 192     1     1
End
