NMec = 98513
T = 38
P = 3
Profits ignored
Solution time = 6.897e+00
Maximum possible tasks = 20
Solutions = 2184
Task data
    2  12     1    -1
    6  17     1    -1
    6  20     1    -1
    6  20     1    -1
    7  12     1     0
    8  19     1    -1
    8  28     1    -1
    9  10     1     1
   10  13     1     2
   10  94     1    -1
   13  22     1     0
   15  19     1     1
   16  29     1    -1
   16  37     1    -1
   17  34     1     2
   18  69     1    -1
   22  32     1     1
   24  45     1     0
   34  44     1     1
   40  49     1     2
   42  53     1    -1
   44  52     1    -1
   45  53     1    -1
   45  56     1    -1
   47  55     1    -1
   48  71     1     0
   50  65     1     1
   51  67     1     2
   68  82     1     1
   72 124     1    -1
   79  81     1     0
   81 104     1    -1
   96 103     1    -1
   97 109     1     0
  100 115     1     1
  101 108     1     2
  111 124     1     0
  113 120     1     2
End
