NMec = 98513
T = 35
P = 2
Profits ignored
Solution time = 1.521e-01
Maximum possible tasks = 16
Solutions = 924
Task data
    6  46     1    -1
   12  42     1    -1
   15  17     1     0
   21 170     1    -1
   30 165     1    -1
   31  41     1    -1
   32  46     1     0
   35  38     1     1
   41  49     1     1
   47 132     1    -1
   52 141     1    -1
   63  73     1    -1
   63  79     1     0
   69  73     1     1
   73  91     1    -1
   80  96     1    -1
   81 153     1    -1
   83 104     1    -1
   86 106     1    -1
   87 105     1     0
   88  91     1     1
   89 130     1    -1
  104 110     1     1
  111 119     1     0
  119 124     1     1
  130 134     1     0
  137 144     1     0
  144 155     1     1
  145 172     1    -1
  146 169     1    -1
  148 160     1    -1
  150 162     1    -1
  155 166     1    -1
  158 173     1     0
  159 168     1     1
End
